roi_label,roi_size,lesioned_vox,pct_lesion
0,8989473,9822565,109.26741756719221
1,3302,0,0.0
2,5187,0,0.0
3,4359,0,0.0
4,3764,0,0.0
5,3302,0,0.0
6,4081,0,0.0
7,3616,0,0.0
8,3433,0,0.0
9,3760,0,0.0
10,3042,0,0.0
11,2823,0,0.0
12,4097,0,0.0
13,4796,0,0.0
14,4193,0,0.0
15,4170,0,0.0
16,5940,0,0.0
17,3890,0,0.0
18,3005,0,0.0
19,4970,0,0.0
20,5223,0,0.0
21,6221,0,0.0
22,4890,15,0.3067484662576687
23,5311,0,0.0
24,4744,0,0.0
25,3537,0,0.0
26,4249,0,0.0
27,5149,0,0.0
28,5331,5,0.09379103357719003
29,1579,0,0.0
30,2295,0,0.0
31,2013,0,0.0
32,1811,0,0.0
33,1428,0,0.0
34,3292,0,0.0
35,2266,0,0.0
36,2143,460,21.4652356509566
37,2354,0,0.0
38,3214,781,24.299937772246423
39,1397,0,0.0
40,1943,0,0.0
41,2667,0,0.0
42,2751,0,0.0
43,2892,0,0.0
44,2807,1886,67.18916993231207
45,5645,0,0.0
46,6778,1723,25.420478017114196
47,3544,0,0.0
48,3716,0,0.0
49,5186,0,0.0
50,3843,0,0.0
51,2954,0,0.0
52,3218,2200,68.36544437538844
53,5635,0,0.0
54,3732,0,0.0
55,4604,0,0.0
56,6949,0,0.0
57,4783,0,0.0
58,3940,0,0.0
59,2469,0,0.0
60,2925,0,0.0
61,2884,0,0.0
62,3074,0,0.0
63,3825,0,0.0
64,3556,0,0.0
65,2442,0,0.0
66,3020,0,0.0
67,3253,0,0.0
68,3891,0,0.0
69,4577,0,0.0
70,4819,0,0.0
71,1956,0,0.0
72,1670,0,0.0
73,4534,0,0.0
74,3912,0,0.0
75,2607,0,0.0
76,3044,0,0.0
77,3152,0,0.0
78,4639,18,0.388014658331537
79,4023,0,0.0
80,1892,0,0.0
81,2950,0,0.0
82,4387,0,0.0
83,4700,0,0.0
84,7002,0,0.0
85,4632,0,0.0
86,5821,0,0.0
87,3771,0,0.0
88,6002,0,0.0
89,2035,0,0.0
90,1029,0,0.0
91,2166,0,0.0
92,1394,0,0.0
93,3625,0,0.0
94,2684,0,0.0
95,2532,0,0.0
96,2486,0,0.0
97,3042,0,0.0
98,2093,0,0.0
99,3616,0,0.0
100,2366,0,0.0
101,4144,0,0.0
102,3347,0,0.0
103,5926,0,0.0
104,6409,0,0.0
105,5884,0,0.0
106,4040,0,0.0
107,6140,0,0.0
108,4773,0,0.0
109,865,0,0.0
110,723,0,0.0
111,1078,0,0.0
112,1083,0,0.0
113,677,0,0.0
114,643,0,0.0
115,1495,0,0.0
116,1047,0,0.0
117,643,0,0.0
118,865,0,0.0
119,1031,0,0.0
120,1073,0,0.0
121,1120,0,0.0
122,1929,0,0.0
123,1608,0,0.0
124,1590,0,0.0
125,2134,0,0.0
126,4335,0,0.0
127,3307,0,0.0
